书名,页面地址,图片地址
 Python编程 从入门到实践,http://product.dangdang.com/24003310.html,http://img3m0.ddimg.cn/67/4/24003310-1_b_7.jpg
 Python学习手册（原书第5版）,http://product.dangdang.com/25576578.html,http://img3m8.ddimg.cn/27/32/25576578-1_b_5.jpg
 利用Python进行数据分析（原书第2版）,http://product.dangdang.com/25312917.html,http://img3m7.ddimg.cn/3/33/25312917-1_b_2.jpg
 疯狂Python讲义,http://product.dangdang.com/25580336.html,http://img3m6.ddimg.cn/23/16/25580336-1_b_3.jpg
 Python基础教程（第3版）,http://product.dangdang.com/25218035.html,http://img3m5.ddimg.cn/62/19/25218035-1_b_2.jpg
 Python编程快速上手 让繁琐工作自动化（Python3编程从入门到实践 新手学习必备用书）,http://product.dangdang.com/23997502.html,http://img3m2.ddimg.cn/1/5/23997502-1_b_6.jpg
 Python从小白到大牛,http://product.dangdang.com/25574315.html,http://img3m5.ddimg.cn/41/26/25574315-1_b_5.jpg
 Python 3网络爬虫开发实战,http://product.dangdang.com/25249602.html,http://img3m2.ddimg.cn/48/25/25249602-1_b_3.jpg
 Python Cookbook（第3版）中文版,http://product.dangdang.com/23690527.html,http://img3m7.ddimg.cn/25/19/23690527-1_b_2.jpg
 Python从菜鸟到高手,http://product.dangdang.com/25333314.html,http://img3m4.ddimg.cn/6/6/25333314-1_b_2.jpg
 零基础入门学习Python（第2版）-微课视频版,http://product.dangdang.com/27865271.html,http://img3m1.ddimg.cn/38/16/27865271-1_b_3.jpg
 Python编程（第四版）,http://product.dangdang.com/23617284.html,http://img3m4.ddimg.cn/42/36/23617284-1_b_2.jpg
 Python机器学习手册：从数据预处理到深度学习,http://product.dangdang.com/27902091.html,http://img3m1.ddimg.cn/30/21/27902091-1_b_3.jpg
 Python语言程序设计基础（第2版）,http://product.dangdang.com/24189864.html,http://img3m4.ddimg.cn/6/4/24189864-1_b_3.jpg
 Python核心编程 第3版,http://product.dangdang.com/23961748.html,http://img3m8.ddimg.cn/85/30/23961748-1_b_10.jpg
 Python 快速入门 第3版,http://product.dangdang.com/27903882.html,http://img3m2.ddimg.cn/39/36/27903882-1_b_5.jpg
 Python趣味编程：从入门到人工智能,http://product.dangdang.com/27896566.html,http://img3m6.ddimg.cn/49/9/27896566-1_b_2.jpg
 物联网应用设计与实战：基于AVR单片机和Python,http://product.dangdang.com/26440992.html,http://img3m2.ddimg.cn/72/15/26440992-1_b_1.jpg
 Python神经网络编程,http://product.dangdang.com/25251315.html,http://img3m5.ddimg.cn/78/36/25251315-1_b_6.jpg
 Python深度学习,http://product.dangdang.com/25324199.html,http://img3m9.ddimg.cn/98/30/25324199-1_b_3.jpg
 流畅的Python,http://product.dangdang.com/25071121.html,http://img3m1.ddimg.cn/64/32/25071121-1_b_3.jpg
 教孩子学编程 Python语言版,http://product.dangdang.com/23928893.html,http://img3m3.ddimg.cn/98/31/23928893-1_b_11.jpg
 对比Excel，轻松学习Python数据分析,http://product.dangdang.com/26512595.html,http://img3m5.ddimg.cn/98/23/26512595-1_b_3.jpg
 基于Python的大数据分析基础及实战,http://product.dangdang.com/25307829.html,http://img3m9.ddimg.cn/63/14/25307829-1_b_9.jpg
 Python 3标准库,http://product.dangdang.com/25534855.html,http://img3m5.ddimg.cn/82/8/25534855-1_b_2.jpg
 Python数据分析与挖掘实战,http://product.dangdang.com/23818948.html,http://img3m8.ddimg.cn/43/13/23818948-1_b_1.jpg
 Python深度学习实战：基于TensorFlow和Keras的聊天机器人以及人脸、物体和语音识别,http://product.dangdang.com/27857147.html,http://img3m7.ddimg.cn/32/32/27857147-1_b_1.jpg
 Python数据可视化之matplotlib实践,http://product.dangdang.com/25339676.html,http://img3m6.ddimg.cn/32/4/25339676-1_b_2.jpg
